Shape_Leng,Shape_Area,ADM2_EN,ADM2_PCODE,,Rur_Pctg
2.712933404,0.223823529,Abim,UG3064,2015,69.48853616
2.711109817,0.253353215,Adjumani,UG3065,2015,73.77483444
3.132891013,0.285815844,Agago,UG3066,2015,71.66377816
2.87571126,0.126491804,Alebtong,UG3067,2015,88.72633391
1.88979405,0.145958766,Amolatar,UG3068,2015,81.745503
2.82592117,0.132668001,Amudat,UG3069,2015,86.19744059
2.659590063,0.112382613,Amuria,UG2027,2015,88.12301166
4.619184698,0.292045432,Amuru,UG3070,2015,72.44094488
2.309675522,0.145564552,Apac,UG3071,2015,60.41994751
3.163190673,0.188680135,Arua,UG3072,2015,21.82926829
0.936453267,0.033399586,Budaka,UG2028,2015,88.42549203
0.901825092,0.025791133,Bududa,UG2029,2015,125.2525253
1.597581562,0.085603895,Bugiri,UG2030,2015,32.21153846
0.987886114,0.030798884,Bugweri,UG2031,2015,65.41889483
1.290288577,0.055823918,Buhweju,UG4101,2015,87.95472918
1.689525941,0.11806088,Buikwe,UG1001,2015,43.13999534
1.503210107,0.08533485,Bukedea,UG2032,2015,45.2991453
0.975527912,0.048731501,Bukomansimbi,UG1002,2015,48.09210526
1.097823573,0.045513301,Bukwo,UG2033,2015,176.1290323
1.978812247,0.056378242,Bulambuli,UG2034,2015,43.32965821
2.162868569,0.164778846,Buliisa,UG4102,2015,136.5646259
1.653935428,0.0691696,Bundibugyo,UG4103,2015,40.01743679
1.348796226,0.040480411,Bunyangabu,UG4104,2015,84.03458213
1.769565256,0.073535401,Bushenyi,UG4105,2015,105.4637865
1.434232304,0.061930726,Busia,UG2035,2015,55.70307785
1.311332247,0.053193464,Butaleja,UG2036,2015,26.58177477
1.581540971,0.032951561,Butambala,UG1003,2015,81.31760079
0.922719222,0.019333647,Butebo,UG2037,2015,61.85840708
3.939933433,0.781533339,Buvuma,UG1004,2015,264.4444444
1.923593529,0.149941549,Buyende,UG2038,2015,42.69058296
1.615376015,0.088307419,Dokolo,UG3073,2015,73.93162393
2.315221467,0.135719276,Gomba,UG1005,2015,122.0160792
2.11414824,0.152249632,Gulu,UG3074,2015,43.4751773
2.885077834,0.215204278,Hoima,UG4106,2015,88.10054088
2.104873124,0.078447397,Ibanda,UG4107,2015,148.2622433
1.147629566,0.05188202,Iganga,UG2039,2015,38.08290155
2.552553833,0.215178928,Isingiro,UG4108,2015,18.48890666
1.285666651,0.058856144,Jinja,UG2040,2015,34.71057047
4.36456197,0.386419981,Kaabong,UG3075,2015,139.4404332
1.185503975,0.050377377,Kabale,UG4109,2015,40.50687285
2.648601634,0.106563119,Kabarole,UG4110,2015,81.94078947
1.337447834,0.072129652,Kaberamaido,UG2041,2015,216.9273229
2.092606694,0.126287447,Kagadi,UG4111,2015,26.14234284
1.786103182,0.135476471,Kakumiro,UG4112,2015,16.19381575
1.289265921,0.059913878,Kalaki,UG2042,2015,177.0044053
3.495566872,0.73537113,Kalangala,UG1006,2015,247.4060823
1.21601175,0.070681206,Kaliro,UG2043,2015,157.719226
1.263335095,0.068013888,Kalungu,UG1007,2015,97.56229686
0.636963569,0.015865428,Kampala,UG1008,2015,11.87393749
1.799551812,0.123286982,Kamuli,UG2044,2015,12.12671509
2.4618206,0.137525351,Kamwenge,UG4113,2015,24.95518107
2.774999659,0.107679265,Kanungu,UG4114,2015,17.34534064
0.991997175,0.031014732,Kapchorwa,UG2045,2015,503.3457249
2.337563938,0.097690192,Kapelebyong,UG2046,2015,194.4196429
2.338016148,0.207524163,Karenga,UG3076,2015,237.9139073
2.583163004,0.275200125,Kasese,UG4115,2015,34.93499152
1.907793578,0.155880691,Kassanda,UG1009,2015,53.21531792
2.543180431,0.197445747,Katakwi,UG2047,2015,75.27957622
2.389582234,0.144550754,Kayunga,UG1010,2015,29.47481243
1.95775919,0.126431572,Kazo,UG4116,2015,93.03346133
1.555623445,0.094647551,Kibaale,UG4117,2015,168.6950642
1.97151955,0.127881676,Kiboga,UG1011,2015,82.87037037
1.026342583,0.03974306,Kibuku,UG2048,2015,95.00480307
2.861696483,0.243019487,Kikuube,UG4118,2015,73.16110513
2.740306107,0.247255476,Kiruhura,UG4119,2015,75.66001288
2.647974331,0.29540766,Kiryandongo,UG4120,2015,56.28214548
1.388223557,0.058991573,Kisoro,UG4121,2015,50.52447552
1.413403014,0.05813473,Kitagwenda,UG4122,2015,133.9189189
3.744889072,0.33786463,Kitgum,UG3077,2015,50.38722168
1.428793814,0.062118996,Koboko,UG3078,2015,82.44131455
1.820959074,0.08711746,Kole,UG3079,2015,64.87148103
3.034120953,0.29536707,Kotido,UG3080,2015,47.09712425
1.62124805,0.08733139,Kumi,UG2049,2015,72.73469388
1.917734962,0.11444744,Kwania,UG3081,2015,117.6533333
1.87700731,0.06416624,Kween,UG2050,2015,302.6123302
2.277781851,0.200216361,Kyankwanzi,UG1012,2015,79.03225806
2.082649525,0.14187398,Kyegegwa,UG4123,2015,34.85504832
2.411433721,0.190597892,Kyenjojo,UG4124,2015,41.52113971
2.52046668,0.198948184,Kyotera,UG1013,2015,77.75484936
3.393283059,0.443142594,Lamwo,UG3082,2015,207.1533923
2.59654181,0.107509661,Lira,UG3083,2015,44.48441247
1.474225349,0.052785298,Luuka,UG2051,2015,32.05128205
2.560916063,0.180180662,Luwero,UG1014,2015,26.31578947
1.660018526,0.08322437,Lwengo,UG1015,2015,40.4478151
1.330344315,0.070352932,Lyantonde,UG1016,2015,150.8863399
2.384501604,0.164224636,Madi Okollo,UG3084,2015,75.69832402
0.836962584,0.019310678,Manafwa,UG2052,2015,97.50320102
1.065480794,0.035729868,Maracha,UG3085,2015,218.5812599
2.213732745,0.178594309,Masaka,UG1017,2015,71.51374627
3.780475115,0.318841248,Masindi,UG4125,2015,31.2605042
4.215270948,0.274828165,Mayuge,UG2053,2015,28.52134461
1.229772943,0.042089681,Mbale,UG2054,2015,38.61188672
1.9217556,0.100872074,Mbarara,UG4126,2015,24.6934702
1.313306974,0.044199868,Mitooma,UG4127,2015,41.45021645
2.074128543,0.128639702,Mityana,UG1018,2015,48.00480048
3.050879097,0.288088876,Moroto,UG3086,2015,266.3187856
1.525597164,0.084742844,Moyo,UG3087,2015,369.8055271
2.209552984,0.123905508,Mpigi,UG1019,2015,26.52821317
2.677134101,0.220286501,Mubende,UG1020,2015,20.33937703
2.803626925,0.226170938,Mukono,UG1021,2015,26.54867257
2.568917896,0.146700583,Nabilatuk,UG3088,2015,192.8270042
3.022065271,0.193348343,Nakapiripirit,UG3089,2015,179.7592998
2.856821522,0.282561576,Nakaseke,UG1022,2015,85.80613254
2.836159024,0.285318974,Nakasongola,UG1023,2015,110.1020956
3.578744769,0.379221196,Namayingo,UG2055,2015,56.32447296
0.882804937,0.024348258,Namisindwa,UG2056,2015,90.21047479
1.234640781,0.066182557,Namutumba,UG2057,2015,43.60061681
3.186270885,0.36404629,Napak,UG3090,2015,30.42273042
1.894021816,0.080840923,Nebbi,UG3091,2015,129.512894
1.256158045,0.058621006,Ngora,UG2058,2015,73.51724138
2.16461331,0.113947446,Ntoroko,UG4128,2015,53.45080764
2.271859251,0.164320473,Ntungamo,UG4129,2015,25.93648208
3.846901875,0.385188576,Nwoya,UG3092,2015,57.63648929
1.318403177,0.068933492,Obongi,UG3093,2015,700.2283105
2.288417268,0.126538192,Omoro,UG3094,2015,81.54869933
2.842078242,0.134165304,Otuke,UG3095,2015,112.4189064
2.23390354,0.183162331,Oyam,UG3096,2015,57.4121243
3.457140341,0.268570372,Pader,UG3097,2015,117.4611973
1.728713379,0.084449984,Pakwach,UG3098,2015,53.89809699
1.372127264,0.069822034,Pallisa,UG2059,2015,39.8034398
1.695714872,0.129324617,Rakai,UG1024,2015,30.35460993
1.435936549,0.056055127,Rubanda,UG4130,2015,127.8870398
1.902286032,0.119361174,Rubirizi,UG4131,2015,62.36641221
1.310459212,0.034706241,Rukiga,UG4132,2015,258.7944664
2.660483798,0.124248118,Rukungiri,UG4133,2015,48.72280038
1.141960513,0.046691526,Rwampara,UG4134,2015,67
1.805693007,0.159375885,Serere,UG2060,2015,62.99559471
1.35350802,0.056797298,Sheema,UG4135,2015,119.3301435
1.187717895,0.033003697,Sironko,UG2061,2015,77.03853955
1.594951001,0.115110677,Soroti,UG2062,2015,120.5044219
2.45240522,0.190139434,Ssembabule,UG1025,2015,117.2347018
1.667070079,0.096823346,Tororo,UG2063,2015,68.8850967
3.134473062,0.228198057,Wakiso,UG1026,2015,8.59311981
2.286294121,0.189448106,Yumbe,UG3099,2015,26.92459534
1.56626263,0.072410415,Zombo,UG3100,2015,41.40879479
2.712933404,0.223823529,Abim,UG3064,2016,69.51118476
2.711109817,0.253353215,Adjumani,UG3065,2016,73.79702537
3.132891013,0.285815844,Agago,UG3066,2016,71.69008089
2.87571126,0.126491804,Alebtong,UG3067,2016,88.74476987
1.88979405,0.145958766,Amolatar,UG3068,2016,81.75324675
2.82592117,0.132668001,Amudat,UG3069,2016,86.25218914
2.659590063,0.112382613,Amuria,UG2027,2016,88.08793456
4.619184698,0.292045432,Amuru,UG3070,2016,72.40674502
2.309675522,0.145564552,Apac,UG3071,2016,60.43566363
3.163190673,0.188680135,Arua,UG3072,2016,21.97183099
0.936453267,0.033399586,Budaka,UG2028,2016,89.36170213
0.901825092,0.025791133,Bududa,UG2029,2016,124.6268657
1.597581562,0.085603895,Bugiri,UG2030,2016,31.80933852
0.987886114,0.030798884,Bugweri,UG2031,2016,65.70271833
1.290288577,0.055823918,Buhweju,UG4101,2016,86.99059561
1.689525941,0.11806088,Buikwe,UG1001,2016,44.07939767
1.503210107,0.08533485,Bukedea,UG2032,2016,43.69594902
0.975527912,0.048731501,Bukomansimbi,UG1002,2016,50.19607843
1.097823573,0.045513301,Bukwo,UG2033,2016,175.9713701
1.978812247,0.056378242,Bulambuli,UG2034,2016,43.28436516
2.162868569,0.164778846,Buliisa,UG4102,2016,133.7651822
1.653935428,0.0691696,Bundibugyo,UG4103,2016,39.81363829
1.348796226,0.040480411,Bunyangabu,UG4104,2016,82.9487901
1.769565256,0.073535401,Bushenyi,UG4105,2016,107.4989527
1.434232304,0.061930726,Busia,UG2035,2016,56.0761347
1.311332247,0.053193464,Butaleja,UG2036,2016,25.93018796
1.581540971,0.032951561,Butambala,UG1003,2016,81.55339806
0.922719222,0.019333647,Butebo,UG2037,2016,64.95204882
3.939933433,0.781533339,Buvuma,UG1004,2016,259.285005
1.923593529,0.149941549,Buyende,UG2038,2016,42.06008584
1.615376015,0.088307419,Dokolo,UG3073,2016,72.87344398
2.315221467,0.135719276,Gomba,UG1005,2016,124.4972578
2.11414824,0.152249632,Gulu,UG3074,2016,42.99483649
2.885077834,0.215204278,Hoima,UG4106,2016,87.65735339
2.104873124,0.078447397,Ibanda,UG4107,2016,150.8139535
1.147629566,0.05188202,Iganga,UG2039,2016,37.58726613
2.552553833,0.215178928,Isingiro,UG4108,2016,18.31854994
1.285666651,0.058856144,Jinja,UG2040,2016,34.64713165
4.36456197,0.386419981,Kaabong,UG3075,2016,138.7521968
1.185503975,0.050377377,Kabale,UG4109,2016,41.5501906
2.648601634,0.106563119,Kabarole,UG4110,2016,83.070486
1.337447834,0.072129652,Kaberamaido,UG2041,2016,226.5251989
2.092606694,0.126287447,Kagadi,UG4111,2016,26.29609834
1.786103182,0.135476471,Kakumiro,UG4112,2016,15.49295775
1.289265921,0.059913878,Kalaki,UG2042,2016,175.9087067
3.495566872,0.73537113,Kalangala,UG1006,2016,240.4475043
1.21601175,0.070681206,Kaliro,UG2043,2016,156.0810811
1.263335095,0.068013888,Kalungu,UG1007,2016,100.2143623
0.636963569,0.015865428,Kampala,UG1008,2016,11.8420209
1.799551812,0.123286982,Kamuli,UG2044,2016,12.18503937
2.4618206,0.137525351,Kamwenge,UG4113,2016,24.78425958
2.774999659,0.107679265,Kanungu,UG4114,2016,17.43648961
0.991997175,0.031014732,Kapchorwa,UG2045,2016,500.9936766
2.337563938,0.097690192,Kapelebyong,UG2046,2016,193.3982684
2.338016148,0.207524163,Karenga,UG3076,2016,238.9967638
2.583163004,0.275200125,Kasese,UG4115,2016,34.74120083
1.907793578,0.155880691,Kassanda,UG1009,2016,53.78654456
2.543180431,0.197445747,Katakwi,UG2047,2016,77.73325701
2.389582234,0.144550754,Kayunga,UG1010,2016,29.70270981
1.95775919,0.126431572,Kazo,UG4116,2016,93.27686607
1.555623445,0.094647551,Kibaale,UG4117,2016,167.3248408
1.97151955,0.127881676,Kiboga,UG1011,2016,83.81689233
1.026342583,0.03974306,Kibuku,UG2048,2016,94.21831637
2.861696483,0.243019487,Kikuube,UG4118,2016,70.92706203
2.740306107,0.247255476,Kiruhura,UG4119,2016,75.68238213
2.647974331,0.29540766,Kiryandongo,UG4120,2016,55.54762754
1.388223557,0.058991573,Kisoro,UG4121,2016,51.49023638
1.413403014,0.05813473,Kitagwenda,UG4122,2016,132.986337
3.744889072,0.33786463,Kitgum,UG3077,2016,50.76190476
1.428793814,0.062118996,Koboko,UG3078,2016,81.76072235
1.820959074,0.08711746,Kole,UG3079,2016,64.85951721
3.034120953,0.29536707,Kotido,UG3080,2016,47.32379438
1.62124805,0.08733139,Kumi,UG2049,2016,73.96121884
1.917734962,0.11444744,Kwania,UG3081,2016,123.3954451
1.87700731,0.06416624,Kween,UG2050,2016,305.7926829
2.277781851,0.200216361,Kyankwanzi,UG1012,2016,76.47309991
2.082649525,0.14187398,Kyegegwa,UG4123,2016,32.65494912
2.411433721,0.190597892,Kyenjojo,UG4124,2016,41.12314835
2.52046668,0.198948184,Kyotera,UG1013,2016,78.1389679
3.393283059,0.443142594,Lamwo,UG3082,2016,209.613984
2.59654181,0.107509661,Lira,UG3083,2016,43.68298368
1.474225349,0.052785298,Luuka,UG2051,2016,32.33387358
2.560916063,0.180180662,Luwero,UG1014,2016,26.42063326
1.660018526,0.08322437,Lwengo,UG1015,2016,40.99356683
1.330344315,0.070352932,Lyantonde,UG1016,2016,149.5951417
2.384501604,0.164224636,Madi Okollo,UG3084,2016,75.22063815
0.836962584,0.019310678,Manafwa,UG2052,2016,97.8125
1.065480794,0.035729868,Maracha,UG3085,2016,220.943494
2.213732745,0.178594309,Masaka,UG1017,2016,72.2294232
3.780475115,0.318841248,Masindi,UG4125,2016,31.13145847
4.215270948,0.274828165,Mayuge,UG2053,2016,27.93206793
1.229772943,0.042089681,Mbale,UG2054,2016,38.05292641
1.9217556,0.100872074,Mbarara,UG4126,2016,24.72818511
1.313306974,0.044199868,Mitooma,UG4127,2016,41.97002141
2.074128543,0.128639702,Mityana,UG1018,2016,48.31957547
3.050879097,0.288088876,Moroto,UG3086,2016,273.6111111
1.525597164,0.084742844,Moyo,UG3087,2016,371.8
2.209552984,0.123905508,Mpigi,UG1019,2016,27.12318286
2.677134101,0.220286501,Mubende,UG1020,2016,20.1986755
2.803626925,0.226170938,Mukono,UG1021,2016,26.59659181
2.568917896,0.146700583,Nabilatuk,UG3088,2016,189.5302013
3.022065271,0.193348343,Nakapiripirit,UG3089,2016,174.973822
2.856821522,0.282561576,Nakaseke,UG1022,2016,85.46065259
2.836159024,0.285318974,Nakasongola,UG1023,2016,110.5894627
3.578744769,0.379221196,Namayingo,UG2055,2016,56.44144144
0.882804937,0.024348258,Namisindwa,UG2056,2016,90.55793991
1.234640781,0.066182557,Namutumba,UG2057,2016,43.29359165
3.186270885,0.36404629,Napak,UG3090,2016,30.52345343
1.894021816,0.080840923,Nebbi,UG3091,2016,128.2081843
1.256158045,0.058621006,Ngora,UG2058,2016,78.9261745
2.16461331,0.113947446,Ntoroko,UG4128,2016,53.43839542
2.271859251,0.164320473,Ntungamo,UG4129,2016,26.3420475
3.846901875,0.385188576,Nwoya,UG3092,2016,54.47714465
1.318403177,0.068933492,Obongi,UG3093,2016,703.7861915
2.288417268,0.126538192,Omoro,UG3094,2016,80.19859813
2.842078242,0.134165304,Otuke,UG3095,2016,111.9893428
2.23390354,0.183162331,Oyam,UG3096,2016,58.22002472
3.457140341,0.268570372,Pader,UG3097,2016,118.171926
1.728713379,0.084449984,Pakwach,UG3098,2016,52.42030697
1.372127264,0.069822034,Pallisa,UG2059,2016,38.89821968
1.695714872,0.129324617,Rakai,UG1024,2016,29.89619377
1.435936549,0.056055127,Rubanda,UG4130,2016,127.8304239
1.902286032,0.119361174,Rubirizi,UG4131,2016,62.45325355
1.310459212,0.034706241,Rukiga,UG4132,2016,266.993144
2.660483798,0.124248118,Rukungiri,UG4133,2016,48.73634945
1.141960513,0.046691526,Rwampara,UG4134,2016,67.01807229
1.805693007,0.159375885,Serere,UG2060,2016,62.76041667
1.35350802,0.056797298,Sheema,UG4135,2016,121.333964
1.187717895,0.033003697,Sironko,UG2061,2016,77.53968254
1.594951001,0.115110677,Soroti,UG2062,2016,119.3426043
2.45240522,0.190139434,Ssembabule,UG1025,2016,121.73258
1.667070079,0.096823346,Tororo,UG2063,2016,70.89800443
3.134473062,0.228198057,Wakiso,UG1026,2016,8.288888889
2.286294121,0.189448106,Yumbe,UG3099,2016,26.23808634
1.56626263,0.072410415,Zombo,UG3100,2016,41.36022143
2.712933404,0.223823529,Abim,UG3064,2017,69.50078003
2.711109817,0.253353215,Adjumani,UG3065,2017,73.79609544
3.132891013,0.285815844,Agago,UG3066,2017,71.67364017
2.87571126,0.126491804,Alebtong,UG3067,2017,88.72608873
1.88979405,0.145958766,Amolatar,UG3068,2017,81.7721519
2.82592117,0.132668001,Amudat,UG3069,2017,86.23005877
2.659590063,0.112382613,Amuria,UG2027,2017,88.10463968
4.619184698,0.292045432,Amuru,UG3070,2017,72.42409159
2.309675522,0.145564552,Apac,UG3071,2017,60.4400978
3.163190673,0.188680135,Arua,UG3072,2017,22.1228728
0.936453267,0.033399586,Budaka,UG2028,2017,90.2055094
0.901825092,0.025791133,Bududa,UG2029,2017,124.0235195
1.597581562,0.085603895,Bugiri,UG2030,2017,31.36979897
0.987886114,0.030798884,Bugweri,UG2031,2017,66.00901917
1.290288577,0.055823918,Buhweju,UG4101,2017,86.09422492
1.689525941,0.11806088,Buikwe,UG1001,2017,45.04806617
1.503210107,0.08533485,Bukedea,UG2032,2017,42.20864251
0.975527912,0.048731501,Bukomansimbi,UG1002,2017,52.46753247
1.097823573,0.045513301,Bukwo,UG2033,2017,175.6809339
1.978812247,0.056378242,Bulambuli,UG2034,2017,43.3
2.162868569,0.164778846,Buliisa,UG4102,2017,131.25
1.653935428,0.0691696,Bundibugyo,UG4103,2017,39.62962963
1.348796226,0.040480411,Bunyangabu,UG4104,2017,81.86813187
1.769565256,0.073535401,Bushenyi,UG4105,2017,109.6185738
1.434232304,0.061930726,Busia,UG2035,2017,56.40807047
1.311332247,0.053193464,Butaleja,UG2036,2017,25.35159141
1.581540971,0.032951561,Butambala,UG1003,2017,81.5915628
0.922719222,0.019333647,Butebo,UG2037,2017,68.18572657
3.939933433,0.781533339,Buvuma,UG1004,2017,254.2910448
1.923593529,0.149941549,Buyende,UG2038,2017,41.46341463
1.615376015,0.088307419,Dokolo,UG3073,2017,71.875
2.315221467,0.135719276,Gomba,UG1005,2017,127.2509004
2.11414824,0.152249632,Gulu,UG3074,2017,42.56101638
2.885077834,0.215204278,Hoima,UG4106,2017,87.14074074
2.104873124,0.078447397,Ibanda,UG4107,2017,153.4246575
1.147629566,0.05188202,Iganga,UG2039,2017,37.08322038
2.552553833,0.215178928,Isingiro,UG4108,2017,18.16151842
1.285666651,0.058856144,Jinja,UG2040,2017,34.56539399
4.36456197,0.386419981,Kaabong,UG3075,2017,138.0667237
1.185503975,0.050377377,Kabale,UG4109,2017,42.64828739
2.648601634,0.106563119,Kabarole,UG4110,2017,84.2519685
1.337447834,0.072129652,Kaberamaido,UG2041,2017,236.4485981
2.092606694,0.126287447,Kagadi,UG4111,2017,26.40536359
1.786103182,0.135476471,Kakumiro,UG4112,2017,14.79881177
1.289265921,0.059913878,Kalaki,UG2042,2017,174.9188312
3.495566872,0.73537113,Kalangala,UG1006,2017,234.3283582
1.21601175,0.070681206,Kaliro,UG2043,2017,154.4337812
1.263335095,0.068013888,Kalungu,UG1007,2017,102.8632025
0.636963569,0.015865428,Kampala,UG1008,2017,11.81686686
1.799551812,0.123286982,Kamuli,UG2044,2017,12.23823247
2.4618206,0.137525351,Kamwenge,UG4113,2017,24.62562396
2.774999659,0.107679265,Kanungu,UG4114,2017,17.55580779
0.991997175,0.031014732,Kapchorwa,UG2045,2017,497.9824561
2.337563938,0.097690192,Kapelebyong,UG2046,2017,192.4369748
2.338016148,0.207524163,Karenga,UG3076,2017,239.8104265
2.583163004,0.275200125,Kasese,UG4115,2017,34.57389428
1.907793578,0.155880691,Kassanda,UG1009,2017,54.43298969
2.543180431,0.197445747,Katakwi,UG2047,2017,80.22284123
2.389582234,0.144550754,Kayunga,UG1010,2017,29.91475071
1.95775919,0.126431572,Kazo,UG4116,2017,93.31632653
1.555623445,0.094647551,Kibaale,UG4117,2017,166.006006
1.97151955,0.127881676,Kiboga,UG1011,2017,84.6637335
1.026342583,0.03974306,Kibuku,UG2048,2017,93.40757238
2.861696483,0.243019487,Kikuube,UG4118,2017,68.77227081
2.740306107,0.247255476,Kiruhura,UG4119,2017,75.92814371
2.647974331,0.29540766,Kiryandongo,UG4120,2017,54.81635482
